income,loan_amount,loan_term,loan_purpose,loan_type,lien_status,preapproval,debt_to_income_ratio,combined_loan_to_value_ratio,property_value,occupancy_type,construction_method,total_units,submission_of_application,interest_only_payment,balloon_payment,applicant_age,derived_race,derived_ethnicity,derived_sex,LoanApproved
33.0,75000.0,240.0,31,1,1,2,36,45.0,175000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Male,1
125.0,25000.0,360.0,1,1,2,2,48,101.878,505000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Joint,1
143.0,635000.0,360.0,31,1,1,2,44,87.586,725000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Joint,1
48.0,95000.0,360.0,1,2,1,2,40,96.5,95000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Female,1
370.0,805000.0,360.0,1,1,1,1,<20%,65.0,1235000.0,3,1,3,1,2,2,<25,Asian,Not Hispanic or Latino,Male,1
120.0,145000.0,360.0,1,1,1,2,30%-<36%,95.0,155000.0,1,1,1,1,2,2,25-34,Joint,Joint,Female,1
112.0,165000.0,360.0,2,1,2,2,50%-60%,82.787,565000.0,1,1,1,1,2,2,25-34,2 or more minority races,Joint,Female,0
137.0,325000.0,360.0,1,2,1,2,50%-60%,90.0,355000.0,1,1,1,1,2,2,45-54,Joint,Not Hispanic or Latino,Joint,1
99.0,485000.0,360.0,1,1,1,2,46,90.0,535000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Female,1
18.0,115000.0,360.0,1,1,1,2,>60%,97.0,115000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,0
67.0,245000.0,360.0,31,1,1,2,43,60.488,415000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
98.0,65000.0,360.0,32,2,1,2,20%-<30%,32.626,185000.0,1,2,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,0
117.0,85000.0,360.0,31,1,2,2,42,89.462,415000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Male,1
14.0,15000.0,60.0,4,1,1,2,43,41.67,25000.0,1,1,1,1,2,2,35-44,American Indian or Alaska Native,Not Hispanic or Latino,Female,0
138.0,265000.0,360.0,1,2,1,2,41,,285000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Joint,1
124.0,405000.0,360.0,1,1,1,2,41,100.0,405000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
191.0,365000.0,360.0,1,1,1,2,20%-<30%,69.52,525000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
22.0,55000.0,240.0,1,1,1,2,30%-<36%,100.0,55000.0,1,2,1,2,2,2,45-54,White,Not Hispanic or Latino,Joint,0
197.0,105000.0,240.0,32,1,2,2,20%-<30%,82.85,555000.0,1,1,1,1,2,2,35-44,Joint,Not Hispanic or Latino,Joint,1
42.0,25000.0,120.0,4,1,2,2,40,48.543,295000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Male,1
165.0,585000.0,360.0,1,1,1,2,30%-<36%,80.0,735000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
140.0,505000.0,360.0,1,1,1,2,40,85.0,595000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Male,1
36.0,25000.0,240.0,4,1,2,2,>60%,62.687,455000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Female,0
216.0,685000.0,360.0,32,1,1,2,45,75.0,915000.0,3,1,1,2,2,2,45-54,Joint,Not Hispanic or Latino,Joint,1
246.0,535000.0,360.0,1,1,1,2,50%-60%,90.0,595000.0,1,1,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Male,1
84.0,315000.0,360.0,1,3,1,2,45,100.0,315000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Female,1
103.0,365000.0,360.0,1,2,1,2,38,96.5,375000.0,1,1,1,1,2,2,25-34,Race Not Available,Hispanic or Latino,Male,1
129.0,125000.0,360.0,1,1,1,2,48,80.0,155000.0,3,1,1,1,2,2,45-54,Race Not Available,Ethnicity Not Available,Female,1
52.0,185000.0,360.0,1,2,1,2,41,103.516,195000.0,1,1,1,1,2,2,<25,White,Not Hispanic or Latino,Male,1
177.0,385000.0,360.0,1,1,1,1,20%-<30%,80.0,485000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
119.0,305000.0,360.0,1,1,1,1,20%-<30%,70.588,425000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Male,1
780.0,2195000.0,360.0,1,1,1,2,40,65.0,5595000.0,1,1,1,1,2,2,45-54,Asian,Not Hispanic or Latino,Joint,1
199.0,245000.0,360.0,1,1,1,2,<20%,85.715,285000.0,1,1,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Male,1
69.0,225000.0,360.0,1,1,1,2,48,80.0,285000.0,1,1,1,1,2,2,45-54,White,Not Hispanic or Latino,Male,1
106.0,275000.0,360.0,32,2,1,2,20%-<30%,80.0,345000.0,1,1,1,1,2,2,35-44,White,Not Hispanic or Latino,Joint,1
73.0,15000.0,120.0,2,1,2,2,30%-<36%,71.651,265000.0,1,1,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Sex Not Available,1
77.0,325000.0,360.0,1,1,1,2,42,100.0,325000.0,1,1,1,1,2,2,35-44,White,Hispanic or Latino,Joint,1
66.0,255000.0,360.0,1,1,1,2,43,80.0,315000.0,1,1,1,1,2,2,45-54,Native Hawaiian or Other Pacific Islander,Not Hispanic or Latino,Male,1
57.0,15000.0,360.0,1,1,2,2,44,100.879,185000.0,1,1,1,1,2,2,<25,Race Not Available,Ethnicity Not Available,Sex Not Available,1
100.0,295000.0,360.0,32,3,1,2,30%-<36%,89.833,335000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Female,0
99.0,175000.0,360.0,32,2,1,2,30%-<36%,70.612,245000.0,1,1,1,1,2,2,35-44,Black or African American,Not Hispanic or Latino,Female,1
162.0,105000.0,180.0,2,1,2,2,30%-<36%,80.49,425000.0,1,1,1,1,2,2,35-44,Joint,Not Hispanic or Latino,Joint,0
66.0,295000.0,360.0,1,1,1,2,50%-60%,97.0,305000.0,1,1,1,1,2,2,25-34,White,Hispanic or Latino,Male,1
129.0,325000.0,360.0,1,2,1,2,40,96.5,335000.0,1,1,1,2,2,2,55-64,White,Hispanic or Latino,Male,1
80.0,505000.0,360.0,32,2,1,2,>60%,80.0,625000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Sex Not Available,0
50.0,85000.0,,4,1,1,2,39,53.333,155000.0,1,1,1,1,2,2,45-54,American Indian or Alaska Native,Joint,Male,0
,85000.0,240.0,32,1,2,2,<20%,66.0,505000.0,1,1,1,1,2,2,45-54,Black or African American,Not Hispanic or Latino,Joint,1
172.0,665000.0,360.0,1,1,1,2,41,90.0,735000.0,1,1,1,2,2,2,45-54,White,Hispanic or Latino,Joint,1
97.0,65000.0,240.0,4,1,2,2,46,10.638,,1,1,1,1,2,2,45-54,White,Hispanic or Latino,Male,0
143.0,205000.0,240.0,1,1,1,2,50%-60%,50.53,405000.0,1,2,1,2,2,2,55-64,White,Not Hispanic or Latino,Joint,1
134.0,255000.0,360.0,1,3,1,2,38,,255000.0,1,1,1,1,2,2,45-54,2 or more minority races,Not Hispanic or Latino,Joint,1
70.0,195000.0,360.0,1,4,1,2,40,100.229,195000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Female,1
219.0,415000.0,360.0,1,1,1,2,<20%,62.0,675000.0,1,1,1,2,2,2,45-54,Race Not Available,Hispanic or Latino,Male,1
99.0,335000.0,360.0,1,1,1,2,36,95.0,355000.0,1,1,1,2,2,2,25-34,Race Not Available,Not Hispanic or Latino,Sex Not Available,1
150.0,375000.0,324.0,1,3,1,2,30%-<36%,62.604,605000.0,1,1,1,1,2,1,35-44,White,Not Hispanic or Latino,Male,1
187.0,635000.0,360.0,32,3,1,2,50%-60%,90.004,705000.0,1,1,1,1,2,2,45-54,Race Not Available,Ethnicity Not Available,Joint,1
411.0,415000.0,360.0,1,1,1,2,30%-<36%,95.0,455000.0,1,2,1,1,2,2,25-34,Race Not Available,Ethnicity Not Available,Sex Not Available,1
85.0,165000.0,300.0,1,1,1,2,50%-60%,,155000.0,1,2,2,1,2,2,35-44,Race Not Available,Hispanic or Latino,Male,0
75.0,335000.0,360.0,1,2,1,2,50%-60%,96.5,335000.0,1,1,1,1,2,2,35-44,Asian,Not Hispanic or Latino,Female,1
229.0,515000.0,360.0,1,1,1,2,20%-<30%,56.284,915000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Male,1
55.0,85000.0,360.0,32,1,1,2,48,21.25,405000.0,1,1,1,1,2,2,>74,White,Not Hispanic or Latino,Male,1
94.0,125000.0,300.0,1,1,1,2,47,95.49,135000.0,1,2,1,1,2,2,45-54,Black or African American,Not Hispanic or Latino,Joint,0
39.0,25000.0,60.0,4,1,2,2,48,57.463,135000.0,1,1,1,1,2,2,>74,Black or African American,Not Hispanic or Latino,Female,0
70.0,155000.0,360.0,1,1,1,2,38,95.0,165000.0,1,1,1,2,2,2,<25,White,Not Hispanic or Latino,Male,1
82.0,25000.0,120.0,2,1,2,2,>60%,70.821,555000.0,1,1,1,1,2,2,35-44,Joint,Not Hispanic or Latino,Joint,1
115.0,315000.0,360.0,1,2,1,2,30%-<36%,96.5,325000.0,1,1,1,2,2,2,25-34,White,Joint,Joint,1
45.0,145000.0,360.0,32,2,1,2,50%-60%,80.0,185000.0,1,1,1,1,2,2,35-44,Race Not Available,Ethnicity Not Available,Sex Not Available,1
138.0,275000.0,360.0,1,1,1,2,30%-<36%,32.934,835000.0,2,1,3,1,2,2,35-44,Joint,Not Hispanic or Latino,Male,1
116.0,35000.0,180.0,32,1,2,2,37,53.683,265000.0,1,1,1,1,2,2,45-54,Race Not Available,Ethnicity Not Available,Joint,1
47.0,155000.0,360.0,32,3,1,2,30%-<36%,73.786,215000.0,1,1,1,2,2,2,65-74,Black or African American,Not Hispanic or Latino,Male,1
154.0,945000.0,372.0,1,1,1,2,>60%,80.0,1185000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Joint,0
97.0,255000.0,360.0,1,1,1,1,37,97.0,265000.0,1,1,1,1,2,2,25-34,White,Joint,Joint,1
75.0,365000.0,360.0,1,2,1,2,45,99.196,355000.0,1,1,1,2,2,2,25-34,White,Not Hispanic or Latino,Male,0
175.0,615000.0,360.0,1,1,1,2,38,95.313,645000.0,1,1,1,1,2,2,25-34,Asian,Not Hispanic or Latino,Male,0
111.0,25000.0,60.0,31,1,2,2,30%-<36%,61.95,155000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,1
79.0,235000.0,360.0,1,3,1,2,50%-60%,100.0,235000.0,1,2,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
147.0,445000.0,360.0,31,1,1,2,48,60.0,745000.0,1,1,1,1,2,2,65-74,White,Not Hispanic or Latino,Joint,1
330.0,1065000.0,360.0,1,1,1,2,45,79.11,1355000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Female,0
55.0,285000.0,324.0,32,3,1,2,50%-60%,100.0,285000.0,1,1,1,2,2,2,65-74,Race Not Available,Ethnicity Not Available,Sex Not Available,1
98.0,185000.0,360.0,1,2,1,2,50%-60%,96.5,185000.0,1,1,1,1,2,2,25-34,Black or African American,Not Hispanic or Latino,Male,1
172.0,465000.0,360.0,1,1,1,2,>60%,80.0,585000.0,1,1,1,1,2,2,45-54,Joint,Joint,Female,0
39.0,155000.0,360.0,1,1,1,2,42,95.0,165000.0,1,1,1,2,2,2,<25,White,Not Hispanic or Latino,Female,1
110.0,505000.0,360.0,32,1,1,2,44,42.0,1215000.0,1,1,1,1,2,2,55-64,Race Not Available,Ethnicity Not Available,Sex Not Available,1
38.0,45000.0,300.0,1,1,1,2,30%-<36%,,45000.0,1,2,1,1,2,2,35-44,Black or African American,Ethnicity Not Available,Joint,1
135.0,295000.0,360.0,1,2,1,2,30%-<36%,96.5,305000.0,1,1,1,1,2,2,55-64,White,Not Hispanic or Latino,Male,1
46.0,125000.0,360.0,1,2,1,2,38,96.5,135000.0,1,1,1,2,2,2,35-44,White,Not Hispanic or Latino,Female,0
231.0,665000.0,360.0,1,1,1,2,39,95.0,705000.0,1,1,1,1,2,2,25-34,White,Not Hispanic or Latino,Joint,1
